347,えごま　乾　　　,544,17.7,43.4,50.2,20.8,0.00508
348,カシューナッツ　フライ　味付け　　　,576,19.8,47.6,33.4,6.7,0.5588
349,かぼちゃ　いり　味付け　　　,574,26.5,51.8,19.3,7.3,0.11938
350,かや　いり　　　,665,8.7,64.9,40.8,18.2,0.01524
351,ぎんなん　生　　　,171,4.7,1.6,36.4,1.6,0
352,ぎんなん　ゆで　　　,174,4.6,1.5,38.2,2.4,0.00254
353,日本ぐり　生　　,164,2.8,0.5,41.1,4.2,0.00254
354,日本ぐり　ゆで　　,167,3.5,0.6,43.3,6.6,0.00254
355,日本ぐり　甘露煮　　,238,1.8,0.4,59.6,2.8,0.01778
356,中国ぐり　甘ぐり　　,222,4.9,0.9,57,8.5,0.00508
357,くるみ　いり　　　,674,14.6,68.8,19.2,7.5,0.01016
358,けし　乾　　　,567,19.3,49.1,38.3,16.5,0.01016
359,ココナッツ　ココナッツパウダー　　　　,668,6.1,65.8,37.8,14.1,0.0254
360,ごま　乾　　　,578,19.8,51.9,29.2,10.8,0.00508
361,ごま　いり　　　,599,20.3,54.2,31.1,12.6,0.00508
362,ごま　むき　　　,603,19.3,54.9,31.8,13.0,0.00508
363,ごま　ねり　　　,605,20.5,54.7,31.4,12.7,0.00508
364,しい　生　　　,252,3.2,0.8,60.9,3.3,0.00254
365,すいか　いり　味付け　　　,546,29.6,46.4,20.5,7.1,1.4732
366,とち　蒸し　　　,161,1.7,1.9,40.8,6.6,0.635
367,はす　未熟　生　　　,85,5.9,0.5,17.5,2.6,0.00508
368,はす　成熟　乾　　　,344,18.3,2.3,74.6,10.3,0.01524
369,はす　成熟　ゆで　　　,133,7.3,0.8,30,5.0,0.00254
370,ひし　生　　　,190,5.8,0.5,43.5,2.9,0.0127
371,ピスタチオ　いり　味付け　　　,615,17.4,56.1,30.1,9.2,0.6858
372,ひまわり　フライ　味付け　　　,611,20.1,56.3,24.1,6.9,0.635
373,ブラジルナッツ　フライ　味付け　　　,669,14.9,69.1,16.8,7.2,0.19812
374,ヘーゼルナッツ　フライ　味付け　　　,684,13.6,69.3,21.3,7.4,0.0889
375,ペカン　フライ　味付け　　　,702,9.6,73.4,20.4,7.1,0.3556
376,マカダミアナッツ　いり　味付け　　　,720,8.3,76.7,18.4,6.2,0.4826
377,まつ　生　　　,669,15.8,68.2,14.7,4.1,0.00508
378,まつ　いり　　　,690,14.6,72.5,15,6.9,0.01016
379,らっかせい　乾　大粒種　　,562,25.4,47.5,26.2,7.4,0.00508
380,らっかせい　乾　小粒種　　,562,25.4,47.5,26.2,7.4,0.00508
381,らっかせい　いり　大粒種　　,585,26.5,49.4,26.8,7.2,0.00508
382,らっかせい　いり　小粒種　　,585,26.5,49.4,26.8,7.2,0.00508
383,らっかせい　バターピーナッツ　　　,592,25.5,51.3,25.1,6.9,0.3048
384,らっかせい　ピーナッツバター　　　,640,25.4,50.7,26.6,6.1,0.889
385,アーティチョーク　花らい　生　　　,48,2.3,0.2,20,8.7,0.05334
386,アーティチョーク　花らい　ゆで　　　,45,2.1,0.1,19.4,8.6,0.03048
387,あさつき　葉　生　　　,33,4.2,0.3,8.9,3.3,0.01016
388,あさつき　葉　ゆで　　　,39,4.2,0.3,10.7,3.4,0.01016
389,あしたば　茎葉　生　　　,33,3.3,0.1,12.3,5.6,0.1524
390,あしたば　茎葉　ゆで　　　,31,2.9,0.1,11.9,5.3,0.10922
391,アスパラガス　若茎　生　　　,22,2.6,0.2,5.7,1.8,0.00508
392,アスパラガス　若茎　ゆで　　　,24,2.6,0.1,6.7,2.1,0.00508
393,アスパラガス　若茎　油いため　　　,57,2.9,3.9,6.2,2.1,0.00762
394,アスパラガス　水煮缶詰　　　,22,2.4,0.1,6,1.7,0.889
395,アロエ　葉　生　　　,3,0,0.1,1.1,0.4,0.02032
396,いんげんまめ　さやいんげん　若ざや　生　　,23,1.8,0.1,7.5,2.4,0.00254
397,いんげんまめ　さやいんげん　若ざや　ゆで　　,26,1.8,0.2,8.1,2.6,0.00254
398,うど　茎　生　　,18,0.8,0.1,5.7,1.4,0
399,うど　茎　水さらし　　,14,0.6,0,5,1.6,0
400,やまうど　茎　生　　,19,1.1,0.1,6.1,1.8,0.00254
401,えだまめ　生　　　,135,11.7,6.2,13.8,5.0,0.00254
